"","player_name","web_scraped_team","dob","height"
"473","Joel Smith","Melbourne Demons",1996-02-25,191
"474","Charlie Spargo","Melbourne Demons",1999-11-25,173
"475","Tom Sparrow","Melbourne Demons",2000-05-31,183
"476","Adam Tomlinson","Melbourne Demons",1993-08-10,194
"477","Aaron Vandenberg","Melbourne Demons",1992-03-03,188
"478","Jack Viney","Melbourne Demons",1994-04-13,178
"479","Sam Weideman","Melbourne Demons",1997-06-26,195
"480","Jed Anderson","North Melbourne Kangaroos",1994-02-02,179
"481","Shaun Atley","North Melbourne Kangaroos",1992-09-13,189
"482","Aiden Bonar","North Melbourne Kangaroos",1999-03-08,188
"483","Atu Bosenavulagi","North Melbourne Kangaroos",2000-09-17,180
"484","Tom Campbell","North Melbourne Kangaroos",1991-11-02,201
"485","Charlie Comben","North Melbourne Kangaroos",2001-07-20,199
"486","Ben Cunnington","North Melbourne Kangaroos",1991-06-30,185
"487","Luke Davies-Uniacke","North Melbourne Kangaroos",1999-06-08,188
"488","Trent Dumont","North Melbourne Kangaroos",1995-06-30,186
"489","Eddie Ford","North Melbourne Kangaroos",2002-06-21,184
"490","Taylor Garner","North Melbourne Kangaroos",1994-01-08,187
"491","Todd Goldstein","North Melbourne Kangaroos",1988-07-01,201
"492","Aaron Hall","North Melbourne Kangaroos",1990-11-09,185
"493","Kyron Hayden","North Melbourne Kangaroos",1999-06-07,186
"494","Nick Larkey","North Melbourne Kangaroos",1998-06-06,198
"495","Charlie Lazzaro","North Melbourne Kangaroos",2002-03-25,179
"496","Jack Mahony","North Melbourne Kangaroos",2001-11-12,176
"497","Luke McDonald","North Melbourne Kangaroos",1995-02-09,189
"498","Matthew McGuinness","North Melbourne Kangaroos",2000-06-13,192
"499","Ben McKay","North Melbourne Kangaroos",1997-12-24,201
"500","Connor Menadue","North Melbourne Kangaroos",1996-09-19,187
"501","Flynn Perez","North Melbourne Kangaroos",2001-08-25,187
"502","Will Phillips","North Melbourne Kangaroos",2002-05-22,180
"503","Jared Polec","North Melbourne Kangaroos",1992-10-12,187
"504","Tom Powell","North Melbourne Kangaroos",2002-03-02,183
"505","Bailey Scott","North Melbourne Kangaroos",2000-07-09,186
"506","Jy Simpkin","North Melbourne Kangaroos",1998-03-05,182
"507","Phoenix Spicer","North Melbourne Kangaroos",2002-01-30,173
"508","Jaidyn Stephenson","North Melbourne Kangaroos",1999-01-15,188
"509","Robbie Tarrant","North Melbourne Kangaroos",1989-04-25,196
"510","Curtis Taylor","North Melbourne Kangaroos",2000-04-06,187
"511","Tarryn Thomas","North Melbourne Kangaroos",2000-03-25,189
"512","Kayne Turner","North Melbourne Kangaroos",1995-12-31,180
"513","Dom Tyson","North Melbourne Kangaroos",1993-06-08,186
"514","Joshua Walker","North Melbourne Kangaroos",1992-11-12,197
"515","Patrick Walker","North Melbourne Kangaroos",NA,NA
"516","Will Walker","North Melbourne Kangaroos",1999-03-30,186
"517","Tristan Xerri","North Melbourne Kangaroos",1999-03-15,201
"518","Lachie Young","North Melbourne Kangaroos",1999-04-06,189
"519","Jack Ziebell","North Melbourne Kangaroos",1991-02-28,188
"520","Cameron Zurhaar","North Melbourne Kangaroos",1998-05-22,189
"521","Aliir Aliir","Port Adelaide Power",1994-09-05,195
"522","Karl Amon","Port Adelaide Power",1995-08-19,181
"523","Miles Bergman","Port Adelaide Power",2001-10-18,186
"524","Travis Boak","Port Adelaide Power",1988-08-01,183
"525","Riley Bonner","Port Adelaide Power",1997-03-07,190
"526","Trent Burgoyne","Port Adelaide Power",2001-10-02,177
"527","Ryan Burton","Port Adelaide Power",1997-01-31,191
"528","Zak Butters","Port Adelaide Power",2000-09-08,181
"529","Darcy Byrne-Jones","Port Adelaide Power",1995-09-20,181
"530","Tom Clurey","Port Adelaide Power",1994-03-23,193
"531","Charlie Dixon","Port Adelaide Power",1990-09-23,200
"532","Willem Drew","Port Adelaide Power",1998-10-01,188
"533","Xavier Duursma","Port Adelaide Power",2000-07-07,186
"534","Orazio Fantasia","Port Adelaide Power",1995-09-14,178
"535","Kane Farrell","Port Adelaide Power",1999-03-17,182
"536","Martin Frederick","Port Adelaide Power",2000-05-17,178
"537","Joel Garner","Port Adelaide Power",1999-05-21,184
"538","Mitch Georgiades","Port Adelaide Power",2001-09-28,191
"539","Tyson Goldsack","Port Adelaide Power",1987-05-22,193
"540","Robbie Gray","Port Adelaide Power",1988-03-30,183
"541","Hamish Hartlett","Port Adelaide Power",1990-08-14,185
"542","Sam Hayes","Port Adelaide Power",1999-06-09,203
"543","Dan Houston","Port Adelaide Power",1997-05-12,186
"544","Thomas Jonas","Port Adelaide Power",1991-01-09,188
"545","Lachlan Jones","Port Adelaide Power",2002-04-09,186
"546","Peter Ladhams","Port Adelaide Power",1998-01-14,202
"547","Jarrod Lienert","Port Adelaide Power",1994-08-05,195
"548","Ollie Lord","Port Adelaide Power",2002-01-02,195
"549","Scott Lycett","Port Adelaide Power",1992-09-26,203
"550","Todd Marshall","Port Adelaide Power",1998-10-08,198
"551","Sam Mayes","Port Adelaide Power",1994-05-20,187
"552","Trent McKenzie","Port Adelaide Power",1992-04-03,191
"553","Jackson Mead","Port Adelaide Power",2001-09-30,184
"554","Steven Motlop","Port Adelaide Power",1991-03-12,183
"555","Sam Powell-Pepper","Port Adelaide Power",1998-01-08,187
"556","Tom Rockliff","Port Adelaide Power",1990-02-22,185
"557","Connor Rozee","Port Adelaide Power",2000-01-22,185
"558","Taj Schofield","Port Adelaide Power",NA,NA
"559","Dylan Williams","Port Adelaide Power",2001-07-01,185
"560","Oliver Wines","Port Adelaide Power",1994-10-07,187
"561","Boyd Woodcock","Port Adelaide Power",2000-03-05,179
"562","Jake Aarts","Richmond Tigers",1994-12-08,177
"563","David Astbury","Richmond Tigers",1991-02-26,195
"564","Liam Baker","Richmond Tigers",1998-01-27,173
"565","Noah Balta","Richmond Tigers",1999-10-23,194
"566","Shai Bolton","Richmond Tigers",1998-12-08,175
"567","Nathan Broad","Richmond Tigers",1993-04-15,192
"568","Josh Caddy","Richmond Tigers",1992-09-28,186
"569","Jason Castagna","Richmond Tigers",1996-07-12,181
"570","Mabior Chol","Richmond Tigers",1997-01-29,200
"571","Callum Coleman-Jones","Richmond Tigers",1999-06-13,200
"572","Mate Colina","Richmond Tigers",1999-05-20,209
"573","Riley Collier-Dawkins","Richmond Tigers",2000-02-03,189
"574","Trent Cotchin","Richmond Tigers",1990-04-07,185
"575","Noah Cumberland","Richmond Tigers",2001-03-15,183
"576","Thomson Dow","Richmond Tigers",2001-10-16,182
"577","Shane Edwards","Richmond Tigers",1988-10-25,182
"578","Ryan Garthwaite","Richmond Tigers",1998-06-30,192
"579","Jack Graham","Richmond Tigers",1998-02-25,181
"580","Dylan Grimes","Richmond Tigers",1991-07-16,193
"581","Bachar Houli","Richmond Tigers",1988-05-12,180
"582","Kane Lambert","Richmond Tigers",1991-11-26,178
"583","Tom Lynch","Richmond Tigers",1992-10-31,199
"584","Dustin Martin","Richmond Tigers",1991-06-26,187
"585","Will Martyn","Richmond Tigers",2001-03-29,183
"586","Kamdyn Mcintosh","Richmond Tigers",1994-04-03,191
"587","Ben Miller","Richmond Tigers",1999-08-31,195
"588","Patrick Naish","Richmond Tigers",1999-01-15,182
"589","Toby Nankervis","Richmond Tigers",1994-08-12,199
"590","Bigoa Nyuon","Richmond Tigers",2001-05-18,195
"591","Marlion Pickett","Richmond Tigers",1992-01-06,184
"592","Dion Prestia","Richmond Tigers",1992-10-12,175
"593","Hugo Ralphsmith","Richmond Tigers",2001-11-09,186
"594","Jack Riewoldt","Richmond Tigers",1988-10-31,193
"595","Daniel Rioli","Richmond Tigers",1997-04-16,179
"596","Maurice Rioli","Richmond Tigers",NA,NA
"597","Jack Ross","Richmond Tigers",2000-09-03,187
"598","Samson Ryan","Richmond Tigers",2000-12-09,206
"599","Jayden Short","Richmond Tigers",1996-01-24,178
"600","Ivan Soldo","Richmond Tigers",1996-04-14,204
"601","Sydney Stack","Richmond Tigers",2000-04-28,179
"602","Nick Vlastuin","Richmond Tigers",1994-04-19,187
"603","Sam Alabakis","St Kilda Saints",1997-05-02,211
"604","Josh Battle","St Kilda Saints",1998-09-01,193
"605","Jack Billings","St Kilda Saints",1995-08-18,184
"606","Daniel Butler","St Kilda Saints",1996-06-03,182
"607","Ryan Byrnes","St Kilda Saints",2001-05-03,181
"608","Jack Bytel","St Kilda Saints",2000-03-14,189
"609","Jake Carlisle","St Kilda Saints",1991-10-01,200
"610","Hunter Clark","St Kilda Saints",1999-03-26,187
"611","Oscar Clavarino","St Kilda Saints",1999-05-22,197
"612","Nicholas Coffield","St Kilda Saints",1999-10-23,191
"613","Leo Connolly","St Kilda Saints",2001-08-07,181
"614","Brad Crouch","St Kilda Saints",1994-01-14,186
"615","Luke Dunstan","St Kilda Saints",1995-01-29,185
"616","James Frawley","St Kilda Saints",1988-09-20,193
"617","Jarryn Geary","St Kilda Saints",1988-06-23,183
"618","Jade Gresham","St Kilda Saints",1997-08-24,179
"619","Daniel Hannebery","St Kilda Saints",1991-02-24,181
"620","Jack Higgins","St Kilda Saints",1999-03-19,177
"621","Tom Highmore","St Kilda Saints",1998-02-24,192
"622","Bradley Hill","St Kilda Saints",1993-07-09,179
"623","Dougal Howard","St Kilda Saints",1996-03-25,199
"624","Zak Jones","St Kilda Saints",1995-03-15,181
"625","Darragh Joyce","St Kilda Saints",1997-04-23,195
"626","Dean Kent","St Kilda Saints",1994-02-24,180
"627","Max King","St Kilda Saints",2000-07-07,202
"628","Ben Long","St Kilda Saints",1997-08-21,184
"629","Jack Lonie","St Kilda Saints",1996-08-13,175
"630","Rowan Marshall","St Kilda Saints",1995-11-24,201
"631","Daniel McKenzie","St Kilda Saints",1996-05-17,185
"632","Shaun McKernan","St Kilda Saints",1990-09-01,196
"633","Matthew McLeod-Allison","St Kilda Saints",2002-01-29,192
"634","Tim Membrey","St Kilda Saints",1994-05-26,190
"635","Ben Paton","St Kilda Saints",1998-10-19,187
"636","Dylan Roberton","St Kilda Saints",1991-06-21,194
"637","Sebastian Ross","St Kilda Saints",1993-05-07,188
"638","Patrick Ryder","St Kilda Saints",1988-03-14,197
"639","Jack Sinclair","St Kilda Saints",1995-02-12,181
"640","Jack Steele","St Kilda Saints",1995-12-13,187
"641","Jimmy Webster","St Kilda Saints",1993-06-28,188
"642","Callum Wilkie","St Kilda Saints",1996-03-10,191
"643","Joel Amartey","Sydney Swans",1999-09-02,197
"644","James Bell","Sydney Swans",1999-02-10,183
"645","Nick Blakey","Sydney Swans",2000-02-27,195
"646","Kaiden Brand","Sydney Swans",1994-04-08,198
"647","Braeden Campbell","Sydney Swans",2002-02-04,181
"648","Malachy Carruthers","Sydney Swans",NA,NA
"649","Ryan Clarke","Sydney Swans",1997-06-17,186
"650","Harry Cunningham","Sydney Swans",1993-12-06,181
"651","Jordan Dawson","Sydney Swans",1997-04-09,192
"652","Oliver Florent","Sydney Swans",1998-07-22,185
"653","Robbie Fox","Sydney Swans",1993-04-16,186
"654","Lance Franklin","Sydney Swans",1987-01-30,199
"655","Will Gould","Sydney Swans",2001-01-14,191
"656","Sam Gray","Sydney Swans",1992-02-01,176
"657","Errol Gulden","Sydney Swans",2002-07-18,175
"658","Will Hayward","Sydney Swans",1998-10-26,187
"659","Isaac Heeney","Sydney Swans",1996-05-05,186
"660","George Hewett","Sydney Swans",1995-12-29,187
"661","Tom Hickey","Sydney Swans",1991-03-06,201
"662","Josh P. Kennedy","Sydney Swans",1988-06-20,189
"663","Matthew Ling","Sydney Swans",1999-04-21,184
"664","Jake Lloyd","Sydney Swans",1993-09-20,181
"665","Tom McCartin","Sydney Swans",1999-12-30,193
"666","Logan McDonald","Sydney Swans",2002-04-04,196
"667","Hayden McLean","Sydney Swans",1999-01-20,197
"668","Justin Mcinerney","Sydney Swans",2000-08-18,187
"669","Lewis Melican","Sydney Swans",1996-11-04,195
"670","Callum Mills","Sydney Swans",1997-04-02,189
"671","Sam Naismith","Sydney Swans",1992-07-16,206
"672","Barry O'Connor","Sydney Swans",1998-06-26,193
"673","Colin O'Riordan","Sydney Swans",1995-10-12,187
"674","Tom Papley","Sydney Swans",1996-07-13,178
"675","Luke Parker","Sydney Swans",1992-10-25,183
"676","Dane Rampe","Sydney Swans",1990-06-02,187
"677","Sam Reid","Sydney Swans",1991-12-27,196
"678","Ben Ronke","Sydney Swans",1997-12-18,183
"679","James Rowbottom","Sydney Swans",2000-09-19,186
"680","Marc Sheather","Sydney Swans",2002-06-11,185
"681","Callum Sinclair","Sydney Swans",1989-09-23,200
"682","Dylan Stephens","Sydney Swans",2001-01-08,183
"683","Lewis Taylor","Sydney Swans",1995-02-17,175
"684","Chad Warner","Sydney Swans",2001-05-19,181
"685","Sam Wicks","Sydney Swans",1999-09-14,181
"686","Chee, Brendon Ah","West Coast Eagles",1993-12-21,189
"687","Brayden Ainsworth","West Coast Eagles",1998-11-21,184
"688","Oscar Allen","West Coast Eagles",1999-03-19,192
"689","Tom Barrass","West Coast Eagles",1995-10-08,196
"690","Jarrod Brander","West Coast Eagles",1999-02-11,195
"691","Jarrod Cameron","West Coast Eagles",2000-05-03,182
"692","Tom Cole","West Coast Eagles",1997-05-28,186
"693","Jamie Cripps","West Coast Eagles",1992-04-23,183
"694","Jack Darling","West Coast Eagles",1992-06-13,191
"695","Liam Duggan","West Coast Eagles",1996-12-11,184
"696","Harry Edwards","West Coast Eagles",2000-10-01,197
"697","Luke Edwards","West Coast Eagles",2002-01-12,188
"698","Luke Foley","West Coast Eagles",1999-10-08,188
"699","Andrew Gaff","West Coast Eagles",1992-06-16,183
"700","Shannon Hurn","West Coast Eagles",1987-09-04,187
"701","Mark Hutchings","West Coast Eagles",1991-05-25,182
"702","Callum Jamieson","West Coast Eagles",2000-07-31,200
"703","Ben Johnson","West Coast Eagles",2001-03-06,180
"704","Jamaine Jones","West Coast Eagles",1998-09-29,180
"705","Tim Kelly","West Coast Eagles",1994-07-26,182
"706","Joshua Kennedy","West Coast Eagles",1987-08-25,196
"707","Zac Langdon","West Coast Eagles",1995-11-13,177
"708","Jeremy McGovern","West Coast Eagles",1992-04-15,196
"709","Nicholas Naitanui","West Coast Eagles",1990-05-04,201
"710","Jackson Nelson","West Coast Eagles",1996-03-15,187
"711","Xavier O'Neill","West Coast Eagles",2000-08-03,185
"712","Jack Petruccelle","West Coast Eagles",1999-04-12,185
"713","Jack Redden","West Coast Eagles",1990-12-09,190
"714","Willie Rioli","West Coast Eagles",1995-06-04,175
"715","Josh Rotham","West Coast Eagles",1998-02-25,193
"716","Liam Ryan","West Coast Eagles",1996-10-02,179
"717","Dominic Sheed","West Coast Eagles",1995-04-10,185
"718","Bradley Sheppard","West Coast Eagles",1991-05-23,187
"719","Luke Shuey","West Coast Eagles",1990-06-02,183
"720","Zane Trew","West Coast Eagles",NA,NA
"721","Nathan Vardy","West Coast Eagles",1991-06-25,200
"722","Daniel Venables","West Coast Eagles",1998-11-19,187
"723","Jake Waterman","West Coast Eagles",1998-05-06,191
"724","Bailey Williams","West Coast Eagles",2000-04-17,199
"725","Isiah Winder","West Coast Eagles",2002-05-16,180
"726","Alex Witherden","West Coast Eagles",1998-09-10,188
"727","Elliot Yeo","West Coast Eagles",1993-10-01,190
"728","Dominic Bedendo","Western Bulldogs",2002-07-09,188
"729","Marcus Bontempelli","Western Bulldogs",1995-11-24,193
"730","Josh Bruce","Western Bulldogs",1992-06-08,197
"731","Louis Butler","Western Bulldogs",2001-08-26,184
"732","Ben Cavarra","Western Bulldogs",1995-12-20,173
"733","Zaine Cordy","Western Bulldogs",1996-10-27,193
"734","Hayden Crozier","Western Bulldogs",1993-12-24,185
"735","Bailey Dale","Western Bulldogs",1996-07-22,183
"736","Caleb Daniel","Western Bulldogs",1996-07-07,168
"737","Josh Dunkley","Western Bulldogs",1997-01-09,190
"738","Taylor Duryea","Western Bulldogs",1991-04-24,179
"739","Timothy English","Western Bulldogs",1997-08-10,205
"740","Riley Garcia","Western Bulldogs",2001-01-30,177
"741","Ryan Gardner","Western Bulldogs",1997-06-01,197
"742","Mitchell Hannan","Western Bulldogs",1994-03-09,189
"743","Will Hayes","Western Bulldogs",1995-06-05,181
"744","Lachlan Hunter","Western Bulldogs",1994-12-13,183
"745","Jason Johannisen","Western Bulldogs",1992-11-08,180
"746","Lin Jong","Western Bulldogs",1993-06-04,188
"747","Alex Keath","Western Bulldogs",1992-01-20,197
"748","Buku Khamis","Western Bulldogs",2000-03-24,189
"749","Thomas Liberatore","Western Bulldogs",1992-05-16,183
"750","Patrick Lipinski","Western Bulldogs",1998-07-17,187
"751","Jackson Macrae","Western Bulldogs",1994-08-03,191
"752","Stefan Martin","Western Bulldogs",1986-11-17,199
"753","Toby McLean","Western Bulldogs",1996-01-31,180
"754","Lachlan McNeil","Western Bulldogs",NA,NA
"755","Aaron Naughton","Western Bulldogs",1999-11-30,195
"756","Ed Richards","Western Bulldogs",1999-07-03,185
"757","Josh Schache","Western Bulldogs",1997-08-21,199
"758","Bailey Smith","Western Bulldogs",2000-12-07,185
"759","Roarke Smith","Western Bulldogs",1996-09-11,181
"760","Jordon Sweet","Western Bulldogs",1998-02-02,203
"761","Adam Treloar","Western Bulldogs",1993-03-09,182
"762","Jamarra Ugle-Hagan","Western Bulldogs",2002-04-04,194
"763","Laitham Vandermeer","Western Bulldogs",1999-02-03,180
"764","Mitchell Wallis","Western Bulldogs",1992-10-24,186
"765","Cody Weightman","Western Bulldogs",2001-01-15,177
"766","Rhylee West","Western Bulldogs",2000-07-12,181
"767","Bailey Williams","Western Bulldogs",1997-10-10,187
"768","Easton Wood","Western Bulldogs",1989-09-04,187
"769","Lewis Young","Western Bulldogs",1998-12-20,197
